id	file	question_number	level
int_0001	3	1	TH
int_0002	3	2	NB
int_0003	3	3	NB
int_0004	3	4	TH
int_0005	3	5	NB
int_0006	3	6	TH
int_0007	3	7	NB
int_0008	3	8	TH
int_0009	3	9	TH
int_0010	3	10	NB
int_0011	3	11	NB
int_0012	3	12	NB
int_0013	3	13	NB
int_0014	3	14	NB
int_0015	3	15	NB
int_0016	3	16	NB
int_0017	3	17	NB
int_0018	3	18	NB
int_0019	3	19	NB
int_0020	3	20	VD
int_0021	3	21	NB
int_0022	3	22	TH
int_0023	3	23	TH
int_0024	3	24	NB
int_0025	3	25	TH
int_0026	3	26	TH
int_0027	3	27	NB
int_0028	3	28	TH
int_0029	3	29	TH
int_0030	3	30	NB
int_0031	3	31	NB
int_0032	3	32	NB
int_0033	3	33	NB
int_0034	3	34	TH
int_0035	3	35	NB
int_0037	3	37	TH
int_0038	3	38	TH
int_0039	3	39	TH
int_0041	3	41	TH
int_0042	3	42	TH
int_0043	3	43	NB
int_0044	3	44	TH
int_0045	3	45	TH
int_0046	3	46	TH
int_0047	3	47	TH
int_0048	3	48	TH
int_0049	3	49	VD
int_0050	3	50	TH
int_0051	3	51	TH
int_0052	3	52	TH
int_0053	3	53	TH
int_0054	3	54	VD
int_0055	3	55	VD
int_0056	3	56	VD
int_0057	3	57	VD
int_0058	3	58	VDC
int_0059	3	59	TH
int_0060	3	60	TH
int_0061	3	61	TH
int_0062	3	62	NB
int_0063	3	63	TH
int_0064	3	64	TH
int_0065	3	65	TH
int_0066	3	66	TH
int_0067	3	67	TH
int_0068	3	68	TH
int_0069	3	69	TH
int_0070	3	70	TH
int_0071	3	71	VD
int_0072	3	72	TH
int_0073	3	73	VD
int_0074	3	74	TH
int_0075	3	75	TH
int_0076	3	77	TH
int_0077	3	78	TH
int_0078	3	79	VD
int_0079	3	80	TH
int_0080	3	81	VD
int_0081	3	82	VDC
int_0082	3	83	TH
int_0083	3	84	TH
int_0084	3	85	NB
int_0085	3	86	TH
int_0086	3	87	VD
int_0087	3	88	VDC
int_0088	3	89	VD
int_0089	3	90	VD
int_0090	3	91	VD
int_0092	3	93	NB
int_0093	3	94	NB
int_0094	3	95	TH
int_0095	3	96	NB
int_0096	3	97	TH
int_0097	3	98	TH
int_0098	3	99	TH
int_0099	3	100	TH
int_0100	3	101	TH
int_0101	3	102	VD
int_0102	3	103	TH
int_0103	3	104	NB
int_0104	3	105	TH
int_0105	3	106	TH
int_0106	3	107	VD
int_0107	3	108	TH
int_0108	3	109	TH
int_0109	3	110	VD
int_0110	3	111	TH
int_0111	3	112	TH
int_0112	3	113	VD
int_0113	3	114	TH
int_0114	3	115	TH
int_0115	3	116	TH
int_0116	3	117	VD
int_0117	3	118	TH
int_0118	3	119	TH
int_0119	3	120	VD
int_0120	3	121	VD
int_0121	3	14	TH
int_0123	3	123	NB
int_0124	3	124	VD
int_0125	3	125	TH
int_0126	3	126	NB
int_0127	3	127	TH
int_0128	3	128	TH
int_0129	3	129	TH
int_0130	3	130	TH
int_0131	3	131	TH
int_0132	3	132	TH
int_0133	3	133	NB
int_0134	3	134	TH
int_0135	3	135	NB
int_0136	3	136	TH
int_0137	3	137	TH
int_0138	3	138	NB
int_0139	3	139	TH
int_0140	3	140	TH
int_0141	3	141	TH
int_0142	3	142	TH
int_0143	3	143	TH
int_0144	3	144	VD
int_0145	3	145	TH
int_0146	3	146	VD
int_0147	3	147	VDC
int_0148	3	148	VD
int_0151	3	151	VD
int_0152	3	152	VD
int_0153	3	153	VD
int_0154	4	1	TH
int_0155	4	2	TH
