id	answer	unflag	flag	topic	level	note
int_0455		key_wrong				bản gốc: bốn phương án gõ 3+2√3 thay cho 3+3√2; đã sửa, đáp án C
int_0580		key_wrong				bản gốc: phương án C (đáp án) bị thay bằng công thức rác; đã khôi phục C = 10
int_0800	B	key_wrong				bản gốc: sách chọn D (−1) do lấy nguyên hàm sai dấu; 2I=2 nên I=1 (B)
int_0858	B	key_wrong				bản gốc: sách chọn C; 1=f(0)+I nên I=0 (B), lời giải cũng ra 0
int_0902	A	key_wrong				bản gốc: sách chọn B; lời giải ra k=ln(9/2) (A)
int_0918	B	key_wrong				bản gốc: sách chọn D; công thức diện tích đúng là ∫|f−g|dx (B)
int_1049	A	key_wrong				bản gốc: sách chọn D; V=60π (A), lời giải cũng ra 60π
int_1053	B	key_wrong				bản gốc: sách chọn D (6π); V=12π·π/2=6π² (B)
int_1062	B	key_wrong				bản gốc: sách chọn A (bình phương của hiệu); đúng là π∫(4x²−x⁴)dx (B)
int_1161	C	key_wrong				bản gốc: sách chọn D (216 m) do quên v(0)=10; S=276 m (C)
int_1321	B	key_wrong				bản gốc: sách chọn A; quay quanh Oy, V=π∫(y−y⁴)dy=3π/10 (B)
int_1355	C	key_wrong				bản gốc: sách chọn D; V=4π∫(x−1)²e^{2x}dx=π(e²−5) (C)
int_1419	D	key_wrong				bản gốc: sách chọn B; hệ số x⁶ của (5x−1)⁶/30 là 5⁶/30=3125/6 (D)
int_0094		key_suspect				bản gốc: bốn phương án gõ cos 4x thay cho sin 4x; đã sửa, đáp án D
int_0107	B	key_suspect				bản gốc: sách chọn D (cos) do kết luận chép nhầm; F(x)=sin4x/8+sin2x/4 (B)
int_0429		key_suspect				bản gốc: phương án C gõ (a−1)(b−1) thay cho (a−b)(b−1); đã sửa, đáp án C
int_0353		source_corrupted				bản gốc: đề dính rác "a=2,b=−3"; đã bỏ
int_0402		source_corrupted				bản gốc: ô "c" trong đề bị thay bằng phương trình số phức; đã sửa
int_0826		source_corrupted				bản gốc: đề ghi f(0).f(2018−x)=1 (ý là f(x)); đã sửa
int_1224		source_corrupted				bản gốc: phương án C ghi "2 < max > 3"; đã sửa thành 2 < max < 3
int_1159		source_corrupted	duplicate:int_1147			bản gốc: lời giải dính chữ rác "(P)" và công thức của câu khác; đã bỏ; cùng bài với int_1147 (vận tốc ban đầu ghi 36 km/h thay cho 10 m/s)
int_0539		source_corrupted				bản gốc: cận trong đề (−1..1/2) khác lời giải (1/2..7/2); đã sửa đề theo lời giải
int_0560		source_corrupted				bản gốc: cận trong đề (0..π/4) khác lời giải và phương án (π/3..π/2); đã sửa
int_0409		source_corrupted				bản gốc: đề ghi "bx sin" và cận π/6; đã sửa theo lời giải
int_0395		source_corrupted				bản gốc: đề thiếu dạng kết quả π(π/a−1/b)−1; đã bổ sung theo lời giải
int_1193		source_corrupted				bản gốc: phương án D (đáp án) bị thay bằng "F(x)"; đã khôi phục ln⁴x/4
int_0846		source_corrupted				phương án D (−1761) là số lạ nhưng không ảnh hưởng đáp án; lời giải ra 33/4 (C)
int_0750		source_corrupted				bản gốc: đề thiếu ℝ, lời giải có ghi chú của người soạn và mất câu kết luận; đã sửa
int_0075		segmentation_error				bản gốc: câu 76 bị gộp vào cuối lời giải; đã bỏ
int_0338		segmentation_error				bản gốc: đầu đề dính câu nhận xét của câu trước; đã bỏ
int_0416		segmentation_error				bản gốc: đầu đề dính công thức của câu khác; đã bỏ
int_0702		segmentation_error				bản gốc: cuối lời giải dính công thức của câu sau và thiếu kết luận; đã sửa
int_0751		segmentation_error				bản gốc: đầu đề dính câu kết luận của câu trước; đã bỏ
int_1211		segmentation_error				câu không có lời giải (lời giải trong file chỉ là tiêu đề của đề sau)
int_1394		segmentation_error				bản gốc: lời giải là câu 7 bị gộp; đã bỏ, câu này không có lời giải
int_1263			duplicate:int_0617			cùng bài với int_0617 (khác thứ tự phương án)
int_1164			duplicate:int_1135			cùng bài với int_1135 (khác cách viết)
int_1090			duplicate:int_1087			cùng bài với int_1087 (khác một chữ trong câu dẫn)
int_0791			duplicate:int_0839			cùng bài với int_0839 (bản này gõ f(x−1) thay cho f(1−x))
int_0899			duplicate:int_0883			cùng bài với int_0883 (khác thứ tự phương án)
int_1421			duplicate:int_0588			cùng bài với int_0588 (khác cách viết)
mh24-16-19			duplicate:int_0007			cùng bài với int_0007 (câu của đề thi trùng câu trong sách)
int_1144			duplicate:int_1147			cùng bài với int_1147 (bản này có lỗi gõ "đạp phân")
