id	field	old	new	note
int_0455	choice:A	2\sqrt{3}	3\sqrt{2}	phương án gõ 3+2√3 thay cho 3+3√2 (cả bốn phương án); lời giải ra ln(1+√2)=ln((3+3√2)/3)
int_0455	choice:B	2\sqrt{3}	3\sqrt{2}	phương án gõ 3+2√3 thay cho 3+3√2 (cả bốn phương án); lời giải ra ln(1+√2)=ln((3+3√2)/3)
int_0455	choice:C	2\sqrt{3}	3\sqrt{2}	phương án gõ 3+2√3 thay cho 3+3√2 (cả bốn phương án); lời giải ra ln(1+√2)=ln((3+3√2)/3)
int_0455	choice:D	2\sqrt{3}	3\sqrt{2}	phương án gõ 3+2√3 thay cho 3+3√2 (cả bốn phương án); lời giải ra ln(1+√2)=ln((3+3√2)/3)
int_0455	solution	=\ln \left(1+\sqrt{2} \right)$	=\ln \left(1+\sqrt{2} \right)=\ln \frac{3+3\sqrt{2}}{3}$	nối kết quả với phương án C
int_0580	choice:C	C. $A\left(1;\;-2;\;1 \right)$	C. $10.$	phương án C (đáp án) bị thay bằng công thức rác; lời giải ra 2a+b=10
int_0800	solution	=\left(\cos x-\sin x \right)	=\left(\sin x-\cos x \right)	nguyên hàm của sin x + cos x là sin x − cos x
int_0800	solution	=-1-1=-2$ $\Rightarrow I=-1$	=1-\left(-1 \right)=2$ $\Rightarrow I=1$	2I=2 nên I=1 (B)
int_1053	solution	=4\pi\int\limits_{-1}^{1} \sqrt{1-x^{2}}\mathrm{d}x$	=12\pi\int\limits_{-1}^{1} \sqrt{1-x^{2}}\mathrm{d}x$	hiệu hai bình phương bằng 12√(1−x²)
int_1053	solution	khi quanh $\left(C' \right)$	khi quay $\left(C' \right)$	lỗi gõ
int_1053	solution	=6\pi$⏎Dạng 2: Tính thể tích vật thể tròn xoay khi cho hình phẳng giới hạn bởi: $y=f\left(x \right)$và $y=g\left(x \right)$ quay quanh trục $Ox.$	=6\pi^{2}$.	12π·(π/2)=6π² (B); bỏ dòng tiêu đề "Dạng 2" của mục sau dính vào cuối
int_1062	solution	Vậy thể tích khối tròn xoay được tính: $V=\pi\int\limits_{0}^{2} \left(x^{2}-2x \right)^{2}\mathrm{d}x$.	Trên $\left[0;2 \right]$ ta có $2x\ge x^{2}\ge0$ nên thể tích khối tròn xoay được tính: $V=\pi\int\limits_{0}^{2} \left[\left(2x \right)^{2}-\left(x^{2} \right)^{2} \right]\mathrm{d}x=\pi\int\limits_{0}^{2} 4x^{2}\mathrm{d}x-\pi\int\limits_{0}^{2} x^{4}\mathrm{d}x$.	thể tích là tích phân của hiệu hai bình phương, không phải bình phương của hiệu (B)
int_1161	solution	$v\left(t \right)=\int\limits_{0}^{t} a\left(t \right)\mathrm{d}t =\int\limits_{0}^{t} \left(t^{2}+3t \right)\mathrm{d}t =\left. \left(\frac{t^{3}}{3}+\frac{3t^{2}}{2} \right) \right|_{0}^{t} =\frac{1}{3}t^{3}+\frac{3}{2}t^{2}$	$v\left(t \right)=v\left(0 \right)+\int\limits_{0}^{t} a\left(t \right)\mathrm{d}t =10+\int\limits_{0}^{t} \left(t^{2}+3t \right)\mathrm{d}t =10+\frac{1}{3}t^{3}+\frac{3}{2}t^{2}$	lời giải bỏ quên vận tốc ban đầu 10 m/s
