id	field	old	new	note
mh24-04-18	solution	một khối chóp có bán kính đáy	một khối nón có bán kính đáy	gọi nhầm khối nón là khối chóp
mh24-04-18	solution	V=\frac{1}{3}\pi r_{1}h_{1}+\pi r_{2}^{2}h_{2}=\frac{1}{3}\pi.2.2+\pi.2^{2}.1=\frac{16\pi}{3}	V=\frac{1}{3}\pi r_{1}^{2}h_{1}+\pi r_{2}^{2}h_{2}=\frac{1}{3}\pi.2^{2}.2+\pi.2^{2}.1=\frac{20\pi}{3}	lời giải quên bình phương bán kính khối nón; đáp án đúng C
mh24-04-20	solution	x^{10}\sum_{k=0}^{10} C_{n}^{k}(-x)^{k}	x^{10}\sum_{k=0}^{10} C_{10}^{k}(-x)^{k}	C_n^k thay bằng C_10^k
mh24-04-20	solution	Hệ số của số hạng đó là $C_{10}^{2}=45$	Hệ số của số hạng đó là $C_{10}^{2}=45$ nên số hạng cần tìm là $45x^{12}$	đề hỏi số hạng chứa x^12 (không phải hệ số); đáp án đúng C
mh24-04-22	solution	Vậy thể tích của khối chóp là $V=\frac{1}{3}SO.S_{ABCD}=\frac{1}{3}.\frac{a\sqrt{14}}{2}.a^{2}=\frac{a^{3}\sqrt{14}}{6}$	Thể tích của khối chóp $S.ABCD$ là $V=\frac{1}{3}SO.S_{ABCD}=\frac{1}{3}.\frac{a\sqrt{14}}{2}.a^{2}=\frac{a^{3}\sqrt{14}}{6}$⏎Vậy thể tích khối tứ diện $SABC$ là $V_{SABC}=\frac{1}{2}V=\frac{a^{3}\sqrt{14}}{12}$	đề hỏi tứ diện SABC (nửa khối chóp); đáp án đúng A
mh24-04-47	solution	+x^{2}+1<0,\forall t>0	+x^{2}+1>0,\forall t>0	dấu của f'(t) gõ ngược
mh24-04-47	solution	nên có 22 giá trị thỏa mãn	nên có $10+10=20$ giá trị thỏa mãn	hai khoảng của y có 10 + 10 giá trị nguyên
mh24-06-27	solution	Tập xác định của hàm $a^{x}$ là $\mathrm{R}$ nếu a nguyên dương, là $\mathbb{R}\setminus\left\{0 \right\}$ với a nguyên âm và $\left(0;+\infty \right)$ nếu a không nguyên	Hàm số mũ $y=a^{x}$ $\left(0<a\ne1 \right)$ có tập xác định là $\mathbb{R}$	lời giải nhầm hàm số mũ với hàm số lũy thừa
mh24-06-27	solution	$y=(5)^{x}$ có 5 là số nguyên dương nên tập xác định là $\mathbb{R}$	$y=5^{x}$ là hàm số mũ với cơ số $5>0,\,5\ne1$ nên tập xác định là $\mathbb{R}$	lời giải nhầm hàm số mũ với hàm số lũy thừa
mh24-06-39	solution	Tính phân của hàm phân thức	Tích phân của hàm phân thức	lỗi gõ
mh24-06-39	solution	$=\frac{1}{2}\left(\mathrm{ln}20-\mathrm{ln}4 \right)+\frac{3}{2}\mathrm{ln}\frac{4}{5}-\frac{3}{2}\mathrm{ln}\frac{2}{3}$⏎$=\frac{1}{2}\left(2\mathrm{ln}2+\mathrm{ln}5-2\mathrm{ln}2+3.2\mathrm{ln}2-3.\mathrm{ln}5-3\mathrm{ln}2+3\mathrm{ln}3 \right)$⏎$=\frac{1}{2}\left(-2\mathrm{ln}5+3\mathrm{ln}3+3\mathrm{ln}2 \right)=-\mathrm{ln}5+\frac{3}{2}\mathrm{ln}3+\frac{3}{2}\mathrm{ln}2$⏎$\Rightarrow a+b+c=2$	$=\frac{1}{2}\left(\mathrm{ln}20-\mathrm{ln}6 \right)+\frac{3}{2}\mathrm{ln}\frac{4}{5}-\frac{3}{2}\mathrm{ln}\frac{2}{3}$⏎$=\frac{1}{2}\left(\mathrm{ln}2+\mathrm{ln}5-\mathrm{ln}3 \right)+\frac{3}{2}\left(\mathrm{ln}2+\mathrm{ln}3-\mathrm{ln}5 \right)$⏎$=2\mathrm{ln}2+\mathrm{ln}3-\mathrm{ln}5$⏎$\Rightarrow a=2,\,b=1,\,c=-1\Rightarrow a+b+c=2$	lời giải tính sai (ln4 thay ln6, hệ số 3/2); kết quả đúng 2ln2+ln3−ln5
mh24-06-39	solution	\frac{1}{2}\left(\mathrm{ln}20-\mathrm{ln}4 \right)+\left. \frac{3}{2}	\frac{1}{2}\left(\mathrm{ln}20-\mathrm{ln}6 \right)+\left. \frac{3}{2}	x²+3x+2 tại x=1 bằng 6
mh24-09-19	solution	Vậy $\max _{\left[-2;1 \right]}y	Vậy $\min _{\left[-2;1 \right]}y	đề hỏi giá trị nhỏ nhất
mh24-13-22	solution	$S=\left\{-2 \right\}$	$S=\left\{-6 \right\}$	lời giải tính ra x=−6 nhưng ghi tập nghiệm {−2}
mh24-04-49	question	(M và N không trùng với	(M và N không trùng với A) sao cho $\frac{2AB}{AM}+\frac{3AD}{AN}=8$. Kí hiệu $V,\,\,V_{1}$ lần lượt là thể tích của các khối chóp $S.ABCD$ và $S.MBDN.$ Giá trị lớn nhất của tỉ số $\frac{V_{1}}{V}$ bằng	ghép lại phần đề bị tách vào phương án A (câu kết thúc bằng "trùng với A)")
mh24-04-49	choice:A	A. sao cho $\frac{2AB}{AM}+\frac{3AD}{AN}=8$. Kí hiệu $V,\,\,V_{1}$ lần lượt là thể tích của các khối chóp $S.ABCD$ và $S.MBDN.$ Giá trị lớn nhất của tỉ số $\frac{V_{1}}{V}$ bằng⏎A. 	A. 	phần đề bị tách vào phương án A
mh24-04-49	solution	\le V_{SABD}-\frac{3}{8}V_{SABCD}=\frac{5}{8}V_{SABCD}$	\le V_{SABD}-\frac{3}{8}V_{SABD}=\frac{5}{8}V_{SABD}$	gõ nhầm V_SABCD thay V_SABD
thithu25-08-p2-03	solution	| ĐÚNG | ĐÚNG | SAI | SAI |	| SAI | ĐÚNG | SAI | SAI |	bảng kết luận ghi a) Đúng nhưng chính lời giải chứng minh A, B không độc lập
thithu25-08-p2-03	choice:d	xác suất công ty thắng thầu dự án $0,8$	xác suất công ty thắng thầu dự án 2 là $0,8$	đề thiếu "2 là"
mh24-18-40	solution	Vậy $d\left(A,\left(A'BC \right) \right)=\frac{4\sqrt{3}}{3}$	Suy ra $d\left(A,\left(A'BC \right) \right)=\frac{4\sqrt{3}}{3}$⏎Vậy $d\left(M,\left(A'BC \right) \right)=\frac{1}{2}d\left(A,\left(A'BC \right) \right)=\frac{2\sqrt{3}}{3}$	lời giải dừng ở d(A) (dấu * theo d(A)); đề hỏi d(M)=½d(A); đáp án đúng A
mh24-18-48	solution	0<m<\frac{1}{2}. \end{array} \right.$	0<m\le\frac{1}{2}. \end{array} \right.$	m=1/2 cũng thỏa (nghiệm t=2m−1=0 bị loại vì t>0)
mh24-18-48	solution	0<24m<12 \end{array} \right.$ và $24m\in\mathbb{Z}$ suy ra có $12$ giá trị	0<24m\le12 \end{array} \right.$ và $24m\in\mathbb{Z}$ suy ra có $13$ giá trị	m=1/2 cũng thỏa; đáp án đúng C
