id	level	topic	flag	answer	note
camau26-l1-p1-01	TH	HS.MM			
camau26-l1-p1-02		HS.TC			
camau26-l1-p1-03	TH	TK.TT			
camau26-l1-p1-04	NB	OX.TD			
camau26-l1-p1-05	NB	LG.PT			
camau26-l1-p1-06	TH	ML.PT			
camau26-l1-p1-07	NB	DS.CSN			
camau26-l1-p1-08	TH	UD.DT			
camau26-l1-p1-09	NB	OX.TD			
camau26-l1-p1-10	TH	UD.TT			
camau26-l1-p1-11	NB	OXY			
camau26-l1-p1-12		HS.DB			
camau26-l1-p2-01		XS.DK	duplicate:camau26-vd-p2-04		cùng bài với file hướng dẫn giải của Cà Mau (giữ bản có lời giải của giáo viên)
camau26-l1-p2-02		OX.TTe	figure_optional,duplicate:camau26-vd-p2-03		cùng bài với file hướng dẫn giải của Cà Mau
camau26-l1-p2-03	VD	UD.TTe			
camau26-l1-p2-04	TH	HS.CT			
camau26-l1-p3-01		XS.CD	duplicate:camau26-vd-p3-06		cùng bài (đổi giáo viên thành học sinh) với file hướng dẫn giải của Cà Mau
camau26-l1-p3-02	VD	HS.TU			
camau26-l1-p3-03	VD	HK.KC			
camau26-l1-p3-04		OX.TTe	duplicate:camau26-vd-p3-04		cùng bài với file hướng dẫn giải của Cà Mau
camau26-l1-p3-05	VD	UD.TT			
camau26-l1-p3-06		BPT	duplicate:camau26-vd-p3-02		cùng bài với file hướng dẫn giải của Cà Mau
camau26-vd-p2-03	VD	OX.TTe	figure_optional		
camau26-vd-p2-04	TH	XS.DK			
camau26-vd-p3-01	VD	HK.KC			
camau26-vd-p3-02	VD	BPT			
camau26-vd-p3-03		UD.TT	source_corrupted		đề hỏi thời gian theo giây nhưng lời giải tính ra 29,3 phút
camau26-vd-p3-04		OX.TTe			
camau26-vd-p3-05	VD	HS.TU			
camau26-vd-p3-06	VD	XS.CD			
danang26-l1-p1-01	NB	OX.DT			
danang26-l1-p1-02	NB	TK.TT			
danang26-l1-p1-03	NB	DS.CSN			
danang26-l1-p1-04		LG.PT			phương án B và D in giống nhau (đáp án C vẫn đúng)
danang26-l1-p1-05	NB	HK.QH	figure_optional		
danang26-l1-p1-06	NB	ML.PT			
danang26-l1-p1-07	TH	VT	figure_optional		
danang26-l1-p1-08	NB	HS.TC			
danang26-l1-p1-09	NB	NH			
danang26-l1-p1-10	TH	OX.MP			
danang26-l1-p1-11	TH	KD.TT			
danang26-l1-p1-12	TH	ML.BPT			
danang26-l1-p2-01	TH	HS.CT			
danang26-l1-p2-02	VD	ML.TT			
danang26-l1-p2-03	TH	XS.DK			
danang26-l1-p2-04	VD	OX.TTe			
danang26-l1-p3-01		UD.DT			
danang26-l1-p3-02	VD	XS.CD			
danang26-l1-p3-03	VD	BPT			
danang26-l1-p3-04	VD	HK.KC			
danang26-l1-p3-05	VD	HS.TU			
danang26-l1-p3-06	VDC	TP			
dqham26-p1-01	NB	HS.TC			
dqham26-p1-02	TH	VT			
dqham26-p1-03	TH	ML.BPT			
dqham26-p1-04	TH	OX.MC			
dqham26-p1-05	NB	LG.PT			
dqham26-p1-06	NB	DS.CSC			
dqham26-p1-07	TH	KD.TT	figure_optional		
dqham26-p1-08	NB	OX.TD			
dqham26-p1-09		TK.PT			
dqham26-p1-10	VD	UD.DT	figure_optional		
dqham26-p1-11	NB	OX.DT			
dqham26-p1-12		HS.DB			
dqham26-p2-01	TH	XS.DK			
dqham26-p2-02	VD	HS.TC			
dqham26-p2-03	VD	OX.GK			
dqham26-p2-04		OXY			
dqham26-p3-01		XS.TH			
dqham26-p3-02		HK.KC			
dqham26-p3-03	VD	HS.TU			
dqham26-p3-04	TH	HK.GOC			
dqham26-p3-05		TK.TT			
dqham26-p3-06	VDC	UD.TTe	figure_optional		
mh24-01-01		HS.DB	duplicate:mh24-13-01		cùng đề với mh24-13-01 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-02		HS.DB	duplicate:mh24-13-02		cùng đề với mh24-13-02 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-03		HS.DB	duplicate:mh24-13-03		cùng đề với mh24-13-03 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
